2023-01-29-INV-1|29-01-2023|202300001|109
2023-01-30-INV-1|30-01-2023|202300001|109
2023-01-30-INV-2|30-01-2023|202300003|109
2023-01-30-INV-3|30-01-2023|202300004|109
2023-01-31-INV-1|31-01-2023|202300001|109
2023-01-31-INV-2|31-01-2023|202300001|110
2023-01-31-INV-3|31-01-2023|202300001|110
2023-01-31-INV-4|31-01-2023|202300001|110
2023-02-01-INV-1|01-02-2023|202300001|109
2023-02-01-INV-2|01-02-2023|202300001|109
2023-02-01-INV-3|01-02-2023|202300001|109
2023-02-01-INV-5|01-02-2023|202300001|109
2023-02-01-INV-6|01-02-2023|202300001|109
2023-02-01-INV-7|01-02-2023|202300001|109
2023-02-01-INV-8|01-02-2023|202300001|109
2023-02-01-INV-10|01-02-2023|202300001|109
2023-02-01-INV-11|01-02-2023|0|109
